Account,Date,total_trades,net_volume,gross_volume,total_pnl,wins,losses,max_drawdown,num_trades,win_rate,timestamp,value,classification,date,sharpe_ratio,signal
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-02-02,30,7.68008,7.68008,0.0,0,0,0.0,30,0.0,1738474200,60,Greed,2025-02-02,0.0,Sell
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-02-03,26,-10.725950000000001,12.00957,11005.991600000001,21,0,0.0,26,1.0,1738560600,44,Fear,2025-02-03,2.477115863597928,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-02-04,1,0.23584,0.23584,0.0,0,0,0.0,1,0.0,1738647000,72,Greed,2025-02-04,0.0,Sell
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-03-01,48,-1.0340099999999999,4.74637,3084.287743,29,0,0.0,48,1.0,1740807000,20,Extreme Fear,2025-03-01,0.6811266537021583,Hold
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-03-03,12,-0.42039000000000004,3.4796500000000004,1136.272279,6,0,0.0,12,1.0,1740979800,33,Fear,2025-03-03,0.24567514955024675,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-03-04,9,3.37159,3.37159,0.0,0,0,0.0,9,0.0,1741066200,15,Extreme Fear,2025-03-04,0.0,Hold
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-04-01,14,1.02066,1.02066,0.0,0,0,0.0,14,0.0,1743485400,34,Fear,2025-04-01,0.0,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-04-02,9,-8.56329,8.56329,6403.5061239999995,9,0,15.099644,9,1.0,1743571800,44,Fear,2025-04-02,2.3686377840495507,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-04-03,59,-0.9221800000000004,18.09766,8002.939313,28,0,0.0,59,1.0,1743658200,25,Fear,2025-04-03,2.101170819446006,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-04-04,21,-2.16407,5.05079,4591.427138999999,13,0,0.0,21,1.0,1743744600,28,Fear,2025-04-04,1.2502152423192958,Buy
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-05-01,19,-0.08599000000000001,3.76321,890.33157,4,0,0.0,19,1.0,1746077400,53,Neutral,2025-05-01,0.25750607383799456,Hold
0x4f93fead39b70a1824f981a54d4e55b278e9f760,2025-05-02,9,1.5503099999999999,1.5503099999999999,0.0,0,0,0.0,9,0.0,1746163800,67,Greed,2025-05-02,0.0,Sell
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-09-12,42,5663.14,5663.14,0.0,0,0,0.0,42,0.0,1726119000,31,Fear,2024-09-12,0.0,Buy
0x513b8629fe877bb581bf244e326a047b249c4ff1,2024-12-12,89,16151.06,16151.06,0.0,0,0,0.0,89,0.0,1733981400,83,Extreme Greed,2024-12-12,0.0,Hold
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-01-04,13,13027.18,13027.18,0.0,0,0,0.0,13,0.0,1735968600,73,Greed,2025-01-04,0.0,Sell
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-01-05,329,-36235.84,50446.62,60544.304874,236,0,0.0,329,1.0,1736055000,72,Greed,2025-01-05,2.2360679774172105,Sell
0x513b8629fe877bb581bf244e326a047b249c4ff1,2025-03-04,49,9096.19,9096.19,0.0,0,0,0.0,49,0.0,1741066200,15,Extreme Fear,2025-03-04,0.0,Hold
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-11-12,8,-70.0,70.0,698.009722,8,0,45.687499,8,1.0,1731389400,80,Extreme Greed,2024-11-12,0.025852318974568377,Hold
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2024-12-12,4,-30.0,30.0,362.84131,4,0,7.495621,4,1.0,1733981400,83,Extreme Greed,2024-12-12,0.013458907671842414,Hold
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-01-02,5,379.26,379.26,0.0,0,0,0.0,5,0.0,1735795800,70,Greed,2025-01-02,0.0,Sell
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-01-04,14,-1874.70477,5605.41877,132.71954399999998,4,0,0.0,14,1.0,1735968600,73,Greed,2025-01-04,0.4476750063596732,Sell
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-02-04,34,-1750.62302,5596.73352,234.497751,9,0,0.0,34,1.0,1738647000,72,Greed,2025-02-04,0.8806759794801935,Sell
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-03-04,20,4129.23779,4129.26067,298.031364,5,0,0.0,20,1.0,1741066200,15,Extreme Fear,2025-03-04,2.0855332692977893,Hold
0x6d6a4b953f202f8df5bed40692e7fd865318264a,2025-04-04,60,-5695.769959999994,447640.0094,392.35488599999996,9,0,0.0,60,1.0,1743744600,28,Fear,2025-04-04,2.5918534040102195,Buy
0x72743ae2822edd658c0c50608fd7c5c501b2afbd,2025-04-01,141,-450.0,450.0,0.0,0,0,0.0,141,0.0,1743485400,34,Fear,2025-04-01,0.0,Buy
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2024-12-12,17,-1327.0,1327.0,0.0,0,0,0.0,17,0.0,1733981400,83,Extreme Greed,2024-12-12,0.0,Hold
0x72c6a4624e1dffa724e6d00d64ceae698af892a0,2025-01-03,14,-160000.0,240000.0,0.0,0,0,0.0,14,0.0,1735882200,74,Greed,2025-01-03,0.0,Sell
